File	Sum	Count	Median	Bin1[0-20]	Bin2[20-40]	Bin3[40-60]	Bin4[60-80]	Bin5[80-100]
m54329U_211109_002533-bc1002.5mc.hifi_reads.model.pbmm2.combined.bed.promoter.log	196088677	4698701	30.1000	0.4592	0.0812	0.0893	0.0888	0.2815
m64076_211109_232223-bc1003.5mc.hifi_reads.model.pbmm2.combined.bed.promoter.log	233634415	5492321	32.8000	0.4463	0.0842	0.0912	0.0919	0.2864
m64076_221001_041132-bc2011.5mc.hifi_reads.model.pbmm2.combined.bed.promoter.log	182493808	4635093	16.6000	0.5119	0.0603	0.0710	0.0744	0.2823
m64334e_220415_144515.5mc.hifi_reads.model.pbmm2.combined.bed.promoter.log	151952804	3529150	35.3000	0.4398	0.0797	0.0959	0.0966	0.2881
m64457e_220902_165459-bc2053.5mc.hifi_reads.model.pbmm2.combined.bed.promoter.log	2119	36	58.9500	0.1667	0.0833	0.2500	0.1944	0.3056
m64457e_220904_135104-bc2053.5mc.hifi_reads.model.pbmm2.combined.bed.promoter.log	79758	1467	53.5000	0.0654	0.1725	0.4083	0.1984	0.1554
m64457e_220906_104717-bc2053.5mc.hifi_reads.model.pbmm2.combined.bed.promoter.log	100864	1304	81.9000	0.0146	0.0192	0.1204	0.2906	0.5552
m84039_230311_024907_s1.hifi_reads.bc2009.model.pbmm2.combined.bed.promoter.log	246691766	5730990	33.4000	0.4402	0.0891	0.0924	0.0850	0.2933
